text,label
"Hôm nay tơi đi làm muộn.","Negative"
"Buổi học hôm nay rất thú vị.","Positive"
"Tôi vừa hoàn thành bài tập đúng hạn.","Positive"
"Hôm nay trời mưa, không đi học được.","Negative"
"Công việc hôm nay khá ổn.","Neutral"
"Tôi được sếp khen vì làm tốt.","Positive"
"Bài kiểm tra hôm nay quá khó.","Negative"
"Tôi quên nộp báo cáo đúng hạn.","Negative"
"Học nhóm hôm nay rất hiệu quả.","Positive"
"Tôi cảm thấy mệt mỏi vì làm việc.","Negative"
"Đồng nghiệp của tôi rất thân thiện.","Positive"
"Tôi phải làm thêm giờ tối nay.","Negative"
"Hôm nay tôi học được kỹ năng mới.","Positive"
"Phòng học hôm nay hơi nóng.","Negative"
"Sếp giao cho tôi dự án mới.","Neutral"
"Tôi hoàn thành công việc sớm hôm nay.","Positive"
"Máy tính của tôi bị hỏng giữa giờ làm.","Negative"
"Hôm nay tôi được nghỉ sớm.","Positive"
"Bài giảng hôm nay hơi nhàm chán.","Negative"
"Tôi vừa nhận được email cảm ơn từ khách hàng.","Positive"
"Deadline của dự án bị đẩy lên sớm.","Negative"
"Tôi thích cách giáo viên giảng bài hôm nay.","Positive"
"Nhóm của tôi làm việc rất ăn ý.","Positive"
"Tôi bị kẹt xe trên đường đi làm.","Negative"
"Hôm nay tôi cảm thấy rất năng suất.","Positive"
"Tôi quên tài liệu quan trọng ở nhà.","Negative"
"Cuộc họp hôm nay kéo dài quá lâu.","Negative"
"Tôi được mời tham gia hội thảo chuyên ngành.","Positive"
"Hôm nay tôi phải làm lại báo cáo.","Negative"
"Tôi nhận được phản hồi tích cực từ sếp.","Positive"
"Phần mềm bị lỗi khi tôi đang làm việc.","Negative"
"Tôi hoàn thành bài thuyết trình đúng hạn.","Positive"
"Hôm nay tôi không tập trung được.","Negative"
"Tôi được chọn làm trưởng nhóm dự án.","Positive"
"Hôm nay trời đẹp, đi học thật thoải mái.","Positive"
"Tôi bị mất điện khi đang làm việc.","Negative"
"Bạn cùng lớp giúp tôi hiểu bài tốt hơn.","Positive"
"Tôi phải làm việc cả cuối tuần.","Negative"
"Giáo viên khen tôi vì bài tập sáng tạo.","Positive"
"Tôi bị ốm nên không đi học được.","Negative"
"Hôm nay tôi được thưởng vì làm tốt.","Positive"
"Đồng nghiệp của tôi nghỉ đột xuất.","Negative"
"Tôi vừa học xong một khóa học online.","Positive"
"Hôm nay tôi phải họp liên tục.","Negative"
"Tôi được giao một nhiệm vụ thú vị.","Positive"
"Máy in hỏng khi tôi cần in tài liệu.","Negative"
"Hôm nay tôi làm việc rất hiệu quả.","Positive"
"Tôi quên lịch họp với khách hàng.","Negative"
"Bài kiểm tra hôm nay dễ hơn tôi nghĩ.","Positive"
"Tôi phải làm lại toàn bộ báo cáo.","Negative"
"Hôm nay tôi nhận được lời khen từ giáo viên.","Positive"
"Internet bị gián đoạn khi tôi đang họp.","Negative"
"Tôi hoàn thành mục tiêu công việc sớm.","Positive"
"Hôm nay tôi cảm thấy rất áp lực.","Negative"
"Tôi được tham gia một dự án quan trọng.","Positive"
"Tôi làm rơi cốc cà phê lên tài liệu.","Negative"
"Buổi học nhóm hôm nay rất vui.","Positive"
"Tôi phải làm thêm để sửa lỗi của nhóm.","Negative"
"Hôm nay tôi được nghỉ trưa dài hơn.","Positive"
"Tôi bị đau đầu vì làm việc quá sức.","Negative"
"Tôi vừa hoàn thành một bài tập khó.","Positive"
"Hôm nay tôi phải thuyết trình trước lớp.","Neutral"
"Tôi được sếp giao thêm nhiệm vụ mới.","Neutral"
"Phòng học hôm nay rất sạch sẽ.","Positive"
"Tôi quên mang sách đến lớp.","Negative"
"Hôm nay tôi học được rất nhiều điều.","Positive"
"Đồng nghiệp của tôi làm sai phần việc.","Negative"
"Tôi vừa hoàn thành một dự án lớn.","Positive"
"Hôm nay tôi phải làm việc trong ngày nghỉ.","Negative"
"Giáo viên giải thích bài rất dễ hiểu.","Positive"
"Tôi bị mất kết nối khi đang học online.","Negative"
"Hôm nay tôi cảm thấy rất tự tin.","Positive"
"Tôi phải làm lại bài tập vì sai nhiều.","Negative"
"Cuộc họp hôm nay rất hiệu quả.","Positive"
"Tôi quên lịch thi vào tuần tới.","Negative"
"Hôm nay tôi được khen vì ý tưởng mới.","Positive"
"Tôi làm việc quá sức và rất mệt.","Negative"
"Đồng nghiệp giúp tôi hoàn thành công việc.","Positive"
"Hôm nay tôi phải đi công tác xa.","Neutral"
"Tôi vừa nhận được học bổng từ trường.","Positive"
"Tôi làm mất USB chứa tài liệu quan trọng.","Negative"
"Hôm nay tôi cảm thấy rất thoải mái.","Positive"
"Tôi phải làm việc với đồng nghiệp khó tính.","Negative"
"Giáo viên cho tôi thêm thời gian nộp bài.","Positive"
"Tôi bị trễ xe buýt đi làm.","Negative"
"Hôm nay tôi hoàn thành công việc sớm.","Positive"
"Tôi phải học lại bài vì không hiểu.","Negative"
"Đồng nghiệp mời tôi đi ăn trưa.","Positive"
"Hôm nay tôi phải làm việc đến khuya.","Negative"
"Tôi được tham gia một khóa học miễn phí.","Positive"
"Máy tính của tôi chạy chậm quá.","Negative"
"Hôm nay tôi cảm thấy rất hứng khởi.","Positive"
"Tôi làm sai một phần trong báo cáo.","Negative"
"Giáo viên khen tôi vì tiến bộ nhanh.","Positive"
"Hôm nay tôi phải họp nhóm online.","Neutral"
"Tôi vừa hoàn thành một bài kiểm tra.","Positive"
"Tôi quên lịch hẹn với sếp.","Negative"
"Hôm nay tôi được nghỉ làm vì lý do cá nhân.","Positive"
"Đồng nghiệp của tôi làm việc không hiệu quả.","Negative"
"Tôi vừa học được một phương pháp mới.","Positive"
"Hôm nay tôi phải làm lại toàn bộ kế hoạch.","Negative"
"Tôi được chọn tham gia hội thảo quốc tế.","Positive"
"Tôi bị đau mắt vì nhìn màn hình lâu.","Negative"
"Hôm nay tôi cảm thấy rất hài lòng.","Positive"
"Tôi phải làm việc trong môi trường ồn ào.","Negative"
"Giáo viên cho tôi điểm cao trong bài tập.","Positive"
"Hôm nay tôi phải làm thêm giờ vì lỗi hệ thống.","Negative"
"Tôi vừa hoàn thành một khóa học khó.","Positive"
"Tôi quên mang theo tài liệu họp.","Negative"
"Hôm nay tôi được sếp giao nhiệm vụ quan trọng.","Positive"
"Đồng nghiệp của tôi nghỉ không báo trước.","Negative"
"Tôi vừa nhận được phản hồi tích cực.","Positive"
"Hôm nay tôi phải làm việc dưới áp lực lớn.","Negative"
"Giáo viên hướng dẫn tôi rất tận tình.","Positive"
"Tôi bị trễ deadline vì lý do cá nhân.","Negative"
"Hôm nay tôi cảm thấy rất năng động.","Positive"
"Tôi làm mất một tài liệu quan trọng.","Negative"
"Đồng nghiệp hỗ trợ tôi rất nhiệt tình.","Positive"
"Hôm nay tôi phải làm việc trong ngày lễ.","Negative"
"Tôi vừa hoàn thành một bài thuyết trình.","Positive"
"Tôi bị gián đoạn khi đang học bài.","Negative"
"Hôm nay tôi được tham gia một dự án mới.","Positive"
"Tôi phải làm lại báo cáo vì sai sót.","Negative"
"Giáo viên khen tôi vì thái độ học tập.","Positive"
"Hôm nay tôi phải làm việc với thời gian gấp.","Negative"
"Tôi vừa hoàn thành một mục tiêu lớn.","Positive"
"Tôi quên lịch họp nhóm vào tối nay.","Negative"
"Hôm nay tôi cảm thấy rất vui vẻ.","Positive"
"Đồng nghiệp của tôi làm chậm tiến độ.","Negative"
"Tôi được tham gia một buổi đào tạo.","Positive"
"Hôm nay tôi phải làm việc mà không nghỉ.","Negative"
"Giáo viên cho tôi thêm tài liệu hữu ích.","Positive"
"Tôi bị mất kết nối trong buổi họp online.","Negative"
"Hôm nay tôi hoàn thành công việc đúng hạn.","Positive"
"Tôi phải làm lại bài tập vì không đạt.","Negative"
"Đồng nghiệp khen tôi vì làm việc chăm chỉ.","Positive"
"Hôm nay tôi phải làm việc với khách hàng khó.","Negative"
"Tôi vừa nhận được giải thưởng từ trường.","Positive"
"Tôi làm hỏng một tài liệu quan trọng.","Negative"
"Hôm nay tôi cảm thấy rất thoải mái.","Positive"
"Tôi phải làm việc trong không gian chật.","Negative"
"Giáo viên đánh giá cao bài làm của tôi.","Positive"
