text,label
"Hôm nay trời đẹp, mình rất vui!",Positive
"Mình vừa được điểm cao, hạnh phúc quá!",Positive
Đi chơi với bạn bè thật sự rất thú vị.,Positive
"Thầy giáo giảng bài dễ hiểu, mình thích lắm.",Positive
"Món ăn này ngon tuyệt, mình sẽ quay lại!",Positive
"Mình vừa hoàn thành dự án, cảm giác thật tuyệt.",Positive
"Hôm nay nhận được quà, mình rất bất ngờ và vui.",Positive
"Đội bóng mình yêu thích đã thắng, thật phấn khích!",Positive
"Mình vừa được khen, cảm thấy tự hào lắm.",Positive
"Cuốn sách này hay quá, đọc không muốn dừng.",Positive
"Đi biển hôm nay thật thư giãn, mình thích lắm.",Positive
"Nhận được tin tốt, mình cười cả ngày!",Positive
"Được nghỉ học hôm nay, thoải mái quá.",Positive
"Bài thuyết trình thành công, mình rất hài lòng.",Positive
"Mua được món đồ yêu thích với giá rẻ, vui ghê.",Positive
"Đi xem phim với gia đình, cảm giác ấm áp quá.",Positive
Nghe bài hát này làm mình cảm thấy hạnh phúc.,Positive
"Được bạn bè ủng hộ, mình cảm động lắm.",Positive
"Hôm nay làm việc hiệu quả, cảm giác thật tốt.",Positive
"Thời tiết mát mẻ, mình thích đi dạo.",Positive
"Mình vừa học được một kỹ năng mới, thú vị quá.",Positive
"Được ăn món ăn mẹ nấu, ngon không tả nổi.",Positive
"Đi công viên hôm nay, vui vẻ cả ngày.",Positive
"Nhận được lời khen từ thầy cô, mình rất vui.",Positive
"Mình vừa thắng một trò chơi, cảm giác thật đã.",Positive
"Được gặp thần tượng, hạnh phúc không nói nên lời.",Positive
"Mua được vé xem concert, mình phấn khích lắm.",Positive
"Hôm nay được nghỉ ngơi, cảm giác thật thoải mái.",Positive
"Đi ăn với đồng nghiệp, không khí vui vẻ lắm.",Positive
"Nhận được học bổng, mình cảm thấy tự hào.",Positive
"Hôm nay gặp lại bạn cũ, cảm giác thật tuyệt.",Positive
"Mình vừa hoàn thành bài tập sớm, nhẹ nhõm quá.",Positive
"Đi du lịch với gia đình, kỷ niệm đẹp quá.",Positive
"Nhận được lời chúc mừng, mình rất cảm động.",Positive
"Được tặng hoa, cảm giác thật hạnh phúc.",Positive
"Đi xem triển lãm nghệ thuật, mình thích lắm.",Positive
"Hôm nay học được nhiều điều mới, thú vị ghê.",Positive
"Được bạn bè giúp đỡ, mình biết ơn lắm.",Positive
"Mình vừa đạt được mục tiêu, cảm giác thật tuyệt.",Positive
"Nghe tin vui từ gia đình, mình hạnh phúc cả ngày.",Positive
"Đi dạo công viên, không khí trong lành quá.",Positive
"Được khen xinh, mình vui cả ngày.",Positive
"Đi ăn buffet, món nào cũng ngon, thích quá.",Positive
"Nhận được tin nhắn dễ thương, cảm giác ấm áp.",Positive
"Hôm nay làm việc nhóm rất hiệu quả, vui lắm.",Positive
"Được tặng một món quà bất ngờ, cảm động ghê.",Positive
"Đi xem pháo hoa, đẹp không tả nổi.",Positive
"Nhận được lời mời đi chơi, mình phấn khích lắm.",Positive
"Được ăn món yêu thích, hạnh phúc quá.",Positive
"Mình vừa hoàn thành một thử thách, tự hào lắm.",Positive
"Hôm nay trời nắng đẹp, mình thích đi chơi.",Positive
"Được khen thông minh, cảm giác thật tuyệt.",Positive
"Đi xem ca nhạc, không khí sôi động lắm.",Positive
"Nhận được thư tay, cảm giác thật đặc biệt.",Positive
"Hôm nay làm việc suôn sẻ, mình rất hài lòng.",Positive
"Được bạn thân tâm sự, cảm giác thật ấm áp.",Positive
"Đi chụp ảnh với bạn bè, vui không tả nổi.",Positive
"Nhận được lời cảm ơn, mình rất vui.",Positive
"Mình vừa học nấu ăn, thành công ngoài mong đợi.",Positive
"Đi xem phim hài, cười cả buổi luôn.",Positive
"Hôm nay được ngủ nướng, thoải mái quá.",Positive
"Được tặng vé xem phim, cảm giác thật tuyệt.",Positive
"Đi ăn sinh nhật bạn, không khí vui vẻ lắm.",Positive
"Nhận được tin vui từ trường, mình rất phấn khích.",Positive
"Mình vừa hoàn thành một khóa học, tự hào ghê.",Positive
"Đi chơi công viên nước, thích không chịu nổi.",Positive
"Hôm nay trời trong xanh, mình thích đi dạo.",Positive
"Được khen chăm chỉ, cảm giác thật hạnh phúc.",Positive
"Đi xem triển lãm sách, thú vị lắm.",Positive
"Nhận được tin nhắn động viên, mình cảm động.",Positive
"Mình vừa học được một bài hát mới, vui quá.",Positive
